zip_code_id,primary_city,county,state,state_short,country,latitude,longitude
72758,Rogers,Benton County,Arkansas,AR,US,"36,3","-94,14"
72760,Saint Paul,Madison County,Arkansas,AR,US,"35,83","-93,71"
72761,Siloam Springs,Benton County,Arkansas,AR,US,"36,18","-94,54"
72762,Springdale,Washington County,Arkansas,AR,US,"36,18","-94,23"
72764,Springdale,Washington County,Arkansas,AR,US,"36,18","-94,14"
72765,Springdale,Washington County,Arkansas,AR,US,"36,18","-94,14"
72766,Springdale,Washington County,Arkansas,AR,US,"36,18","-94,14"
72768,Sulphur Springs,Benton County,Arkansas,AR,US,"36,48","-94,45"
72769,Summers,Washington County,Arkansas,AR,US,"35,98","-94,48"
72770,Tontitown,Washington County,Arkansas,AR,US,"36,17","-94,23"
72773,Wesley,Madison County,Arkansas,AR,US,"36,03","-93,92"
72774,West Fork,Washington County,Arkansas,AR,US,"35,93","-94,18"
72776,Witter,Madison County,Arkansas,AR,US,"35,93","-93,68"
72801,Russellville,Pope County,Arkansas,AR,US,"35,27","-93,14"
72802,Russellville,Pope County,Arkansas,AR,US,"35,32","-93,08"
72811,Russellville,Pope County,Arkansas,AR,US,"35,27","-93,14"
72812,Russellville,Pope County,Arkansas,AR,US,"35,27","-93,14"
72820,Alix,Franklin County,Arkansas,AR,US,"35,42","-93,72"
72821,Altus,Franklin County,Arkansas,AR,US,"35,44","-93,76"
72823,Atkins,Pope County,Arkansas,AR,US,"35,24","-92,94"
72824,Belleville,Yell County,Arkansas,AR,US,"35,09","-93,44"
72826,Blue Mountain,Logan County,Arkansas,AR,US,"35,13","-93,71"
72827,Bluffton,Yell County,Arkansas,AR,US,"34,89","-93,59"
72828,Briggsville,Yell County,Arkansas,AR,US,"34,93","-93,53"
72829,Centerville,Yell County,Arkansas,AR,US,"35,08","-93,17"
72830,Clarksville,Johnson County,Arkansas,AR,US,"35,45","-93,47"
72832,Coal Hill,Johnson County,Arkansas,AR,US,"35,43","-93,66"
72833,Danville,Yell County,Arkansas,AR,US,"35,05","-93,39"
72834,Dardanelle,Yell County,Arkansas,AR,US,"35,22","-93,16"
72835,Delaware,Logan County,Arkansas,AR,US,"35,28","-93,35"
72837,Dover,Pope County,Arkansas,AR,US,"35,4","-93,11"
72838,Gravelly,Yell County,Arkansas,AR,US,"34,91","-93,68"
72839,Hagarville,Johnson County,Arkansas,AR,US,"35,63","-93,24"
72840,Hartman,Johnson County,Arkansas,AR,US,"35,43","-93,61"
72841,Harvey,Scott County,Arkansas,AR,US,"34,86","-93,76"
72842,Havana,Yell County,Arkansas,AR,US,"35,11","-93,52"
72843,Hector,Pope County,Arkansas,AR,US,"35,46","-92,97"
72845,Knoxville,Johnson County,Arkansas,AR,US,"35,37","-93,36"
72846,Lamar,Johnson County,Arkansas,AR,US,"35,43","-93,38"
72847,London,Pope County,Arkansas,AR,US,"35,32","-93,24"
72851,New Blaine,Logan County,Arkansas,AR,US,"35,26","-93,44"
72852,Oark,Johnson County,Arkansas,AR,US,"35,71","-93,57"
72853,Ola,Yell County,Arkansas,AR,US,"35,03","-93,22"
72854,Ozone,Johnson County,Arkansas,AR,US,"35,67","-93,43"
72855,Paris,Logan County,Arkansas,AR,US,"35,28","-93,72"
72856,Pelsor,Newton County,Arkansas,AR,US,"35,79","-93,08"
72857,Plainview,Yell County,Arkansas,AR,US,"34,98","-93,29"
72858,Pottsville,Pope County,Arkansas,AR,US,"35,23","-93,05"
72860,Rover,Yell County,Arkansas,AR,US,"34,93","-93,4"
72863,Scranton,Logan County,Arkansas,AR,US,"35,36","-93,53"
72865,Subiaco,Logan County,Arkansas,AR,US,"35,29","-93,63"
